avaler  to swallow
avoir faim  to be hungry
bouffer  to eat
commander  to order
consommer  to consume
découper  to cut up
dégeler  to defrost
dégraisser  to degrease
déguster  to taste
digérer  to digest
donner à manger  to feed
égoutter  to drain
emporter  to deliver
éplucher  to peel
faire blanchir  to blanche
faire bouillir  to boil
faire chauffer  to heat
faire cuire  to cook
faire les courses  to go food shopping
faire réduire  to reduce (liquid)
garnir  to garnish
goûter  to taste
grignoter  to nibble, snack
griller  to grill
mâcher  to chew
manger sain  to eat healthy
mélanger  to mix
nourrir  to feed
pétrir  to knead
poivrer  to pepper
préparer  to prepare
saisir  to season
saler  to salt
saupoudrer  to sprinkle with
sauter  to sauté
verser  to pour
